page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
526659	25254	2193	29	1559	16
52974	13769	2124	66	1773	56
93842	16376	3911	86	2716	66
304263	24569	2558	32	820	11
718324	5319	673	20	361	13
13705018	1343	102	2	102	2
13705072	1819	228	6	228	6
338154	23671	4592	68	1813	39
2622311	4060	325	4	325	4
1964571	10064	453	11	334	7
42888	30769	1912	47	396	11
288292	19253	2913	58	695	18
7378933	18640	1381	21	1064	16
1335820	9029	694	14	526	9
63764	75127	14908	186	1799	25
196974	29762	3709	63	3180	48
1179794	16780	1331	19	1216	11
58859	9809	1223	34	876	15
559874	26950	5037	56	3252	29
265753	10999	821	20	396	10
31621	37395	5447	56	2608	33
40142	70822	8501	81	3109	25
56561	50284	6323	125	4146	81
70980	123127	5703	102	2319	44
28845	34623	11869	78	5379	24
69279	32681	4731	80	2636	41
2870	58798	12959	164	8672	99
33583	94179	17727	380	8165	201
6437	68431	5524	117	2375	40
183858	24345	5652	53	4653	34
540100	10430	1370	20	1139	16
25107	142168	32830	188	9653	73
54309	81890	17940	114	3754	63
11296	52595	1000	32	709	21
347838	18535	3055	65	1317	32
188665	39398	9429	44	6896	28
54301	135591	8246	91	5472	65
147020	37395	2400	53	677	16
697890	35421	1895	26	1676	17
6976376	558	155	2	133	1
166829	10143	1454	29	757	11
6826591	9971	1453	29	1092	20
140968	51330	2894	33	2314	20
384849	54949	8203	47	2248	24
5721	47116	5461	130	2690	65
241565	26678	3531	73	2161	55
907835	3965	775	22	589	13
823816	27636	1348	30	1180	25
553927	42613	9805	73	1454	25
488743	62293	3489	63	674	17
1482105	14716	1619	32	1300	21
183058	23994	5976	97	2730	50
489750	16006	3277	37	2949	26
88869	26796	4493	36	3926	24
977762	7262	520	10	450	9
73592	99336	12469	86	3817	49
51108	25884	3363	75	1986	35
668826	18924	2423	39	2265	35
49611	59040	7015	129	4233	72
59171	87589	5083	76	3414	45
6134342	4158	1013	21	596	15
71422	169698	43771	270	8233	126
88164	34993	7175	77	3815	46
570153	67313	10104	98	5022	68
164924	212334	3984	44	2115	18
350679	10240	1178	28	536	10
1399190	11489	2494	38	2055	22
308793	24500	7625	65	6093	36
166811	23309	1508	34	987	17
368674	25088	4602	119	2397	64
2108181	6477	641	10	258	4
3262035	1864	444	6	431	5
1018946	4260	1337	19	1166	12
10675505	6655	554	5	554	5
712395	28338	8153	62	564	14
955552	11454	2652	14	1902	6
318049	177694	11269	115	7562	81
66392	64046	6786	116	3519	47
6090406	61414	7103	68	3812	31
2966520	6988	769	10	769	10
56511	51029	2776	79	2016	55
1342299	3753	1079	14	818	9
38074	76547	6264	118	3485	72
4586751	8512	885	10	411	4
2332422	10761	1427	45	747	24
2529031	12078	966	20	145	6
9311	38373	3020	84	1755	59
129090	83607	14832	123	4179	59
288196	29656	4256	69	2007	42
22461	61521	7739	159	4492	94
30919	31636	1658	56	645	20
529578	12458	1287	40	1071	28
1834334	16905	1852	12	1404	7
152623	26596	1789	39	1569	29
170567	19807	2854	85	1558	38
6737633	53583	6242	92	3379	35
3047799	6634	706	24	448	12
65344	53431	6762	89	1259	25
205363	20191	804	13	608	8
586404	24820	2983	15	2652	12
42048	41859	5898	136	3175	57
527756	18197	4527	63	4056	49
52963	38659	4002	51	2170	22
414186	27510	4683	59	1524	23
275509	58644	8553	114	6083	81
339761	54416	2238	33	1346	22
2834063	16761	833	14	276	5
23593	35586	4491	96	3270	58
576327	8558	1319	23	1206	19
170927	66668	4795	64	3505	37
593388	27590	4518	57	4262	48
443854	14926	2318	21	1773	17
679350	11527	1987	40	1306	23
1395311	6662	1162	23	949	15
10176	1100	329	8	305	7
197817	25878	2992	79	1178	34
584452	5269	512	9	491	8
287531	57583	5761	89	3615	56
1706838	9172	437	17	257	10
344536	47069	5708	55	4060	31
76347	134264	4039	98	1966	43
436059	43465	3551	46	1869	35
336557	26174	2904	81	2538	71
30876400	19087	1266	37	909	25
230857	7084	353	12	227	7
1342811	24849	6516	58	4796	44
42047	19618	6442	92	1398	30
215891	23615	3113	57	1090	20
1002473	48999	3843	48	2800	33
14783	73720	15279	198	4416	81
781984	33895	1747	31	987	17
284027	101386	31422	296	6098	136
155056	32517	3543	87	2494	51
8053575	44822	643	7	337	5
242189	20098	3613	42	2754	27
2242421	2524	837	18	762	16
417929	33815	2481	43	1616	25
4688195	48306	5023	55	4036	32
1019908	13864	2790	39	1193	12
1238967	5951	1064	16	714	12
22071	86028	17665	265	12982	193
46924	76859	7749	159	2769	69
179242	24159	5936	100	3832	54
143357	44058	11739	98	4070	62
22581	59797	7794	166	3571	68
1965365	13035	869	18	724	14
144837	11600	3013	55	2116	44
11780498	1547	71	4	71	4
729317	9788	1519	26	1355	20
69149	39507	1934	28	1629	21
13315	82263	11317	165	6738	100
310782	14898	1846	58	964	30
1914	33157	8927	85	3263	47
44305	38212	3404	63	2342	44
590920	19787	2565	56	2291	45
46966	23706	3995	75	2973	55
3416508	553	11	1	0	0
964371	20136	1356	19	990	12
227181	20254	5280	36	2885	15
337102	21940	2878	81	2574	72
1236730	58966	13674	268	8714	187
335058	37089	3535	59	3162	42
78995	27957	6856	96	2497	14
2138187	18549	2170	26	1582	21
54439	42651	6257	76	4662	58
24255	33566	9243	84	6711	36
195248	45258	4537	80	2091	34
322553	80042	7799	141	1627	48
716631	100116	24659	163	3812	68
3202774	13941	3035	28	1183	22
54448	37030	5609	70	4229	46
294338	38075	3861	77	2061	36
56285	39803	4325	119	1653	35
336866	26216	2310	38	1459	20
2300688	6441	694	10	590	9
63791	0	0	0	0	0
309960	9153	1708	24	814	15
237248	20474	1733	42	1439	30
725041	87695	11126	83	3065	37
3206099	24039	6137	176	3409	109
16946852	107245	9581	144	3838	48
235562	40812	7783	174	5492	124
2143933	24388	2998	43	2663	32
533143	42209	4648	67	3553	45
401634	0	0	0	0	0
1032780	26821	4766	98	2670	73
83449	43286	8903	158	4638	84
639924	19430	2444	58	1026	32
492271	24612	2934	51	1561	13
12891	28541	4063	82	1234	31
149467	28554	4908	80	4571	67
152509	51741	13526	198	6391	114
7037	102701	11538	92	7979	47
619451	9071	1546	25	222	10
3477451	2059	479	8	411	5
219367	24009	4177	63	997	20
249924	14323	3158	38	1373	24
3186459	9556	2669	16	629	5
237585	24297	3689	78	2063	43
46112	25118	2484	67	363	8
321263	48727	14528	303	11123	221
377559	12438	2355	34	1703	17
729690	12675	612	13	274	7
587970	63136	2356	47	1329	27
769166	31503	1200	18	904	8
1266901	7936	1136	17	520	8
644492	69834	2155	37	745	15
732438	19067	1834	29	1065	16
185388	59998	4914	89	3345	55
185381	57116	5120	96	3347	51
40592	4205	185	3	44	1
1228011	42643	3279	85	2516	61
520574	79959	5759	72	2999	38
185384	92679	4601	86	3318	51
650342	59354	1106	17	951	10
378579	131879	9734	121	5337	66
26383679	80294	20003	180	12243	122
12636107	66441	8416	145	3835	81
49197	30292	4065	62	3491	45
179962	23837	5482	126	3847	78
273776	30617	8107	32	7312	19
293885	26689	6506	161	4673	119
67883	8559	653	11	515	5
740618	10271	3003	25	803	15
244113	211170	29796	171	8816	96
179400	26519	6925	109	3223	73
1168570	6097	735	22	339	11
196741	38481	4195	84	1072	24
712576	10961	1612	37	930	22
3338719	1348	143	7	143	7
876719	41796	1676	31	1119	21
208860	112591	11273	114	3401	47
46133	50693	12944	90	3806	44
291471	45968	3856	35	2732	23
241649	20556	1527	47	706	19
289607	16875	3902	50	2958	38
231085	28178	1982	50	725	15
2319031	5803	594	10	25	1
45831	82592	7840	88	4118	49
752675	9569	690	11	646	9
342304	38760	7661	53	2379	36
903489	1931	369	7	288	6
5876	80845	24740	196	12102	113
14034	147538	19115	268	6360	59
34197	98445	7519	167	1762	43
3365974	18972	525	11	473	9
8500076	14588	4017	41	3424	32
582832	6857	1572	21	1532	20
44700	204596	18196	202	5648	64
2283367	14306	495	14	452	12
1212650	10644	386	9	200	7
4958015	3976	501	2	501	2
23312	149761	8546	158	5393	75
175357	65525	9024	59	1143	17
4787648	6374	342	8	269	5
3172179	35941	9526	133	9191	118
205264	45219	6876	69	1655	39
56153	54415	12196	162	3700	86
297350	31938	2860	70	787	18
707785	18075	2373	25	1741	19
28714	34893	2217	39	1845	27
17099490	6583	345	7	234	5
58937	95851	14455	158	3023	48
19446	110283	9206	200	5125	98
16453539	15163	3227	62	2882	53
523680	7352	1118	20	74	3
5482977	14418	471	10	471	10
10968353	4844	138	4	119	3
286399	21548	948	15	653	7
146296	34153	3976	67	201	4
2764306	2333	71	2	56	1
104444	23802	4899	146	1689	48
69562	45960	3897	59	1938	24
69690	19971	2770	28	1466	17
18939	21379	1915	30	1663	18
373100	1040	335	8	153	6
284029	16335	707	24	656	21
5653870	3401	546	16	334	9
1853763	31953	2707	17	2581	13
4482285	7921	1781	37	1466	27
500475	43543	6922	163	4715	113
347309	10255	322	8	204	4
190961	55864	6414	100	4625	67
607070	11352	1254	20	1014	14
437724	12084	2834	47	2314	34
18824671	32317	5357	57	4101	37
18832275	1833	121	4	89	2
14276278	5302	601	6	568	4
2246	74365	19262	318	9327	142
236137	22921	2232	47	1582	34
44410	101435	5200	116	3323	69
101604	22642	5949	71	2220	31
5988148	1827	605	4	605	4
1330683	12353	1099	18	904	14
18993882	9901	1756	32	1516	23
19013767	21626	4842	107	2400	76
5791186	13859	1292	18	682	11
54080280	8420	2737	53	2513	46
304588	9685	2024	57	1391	37
21525	65701	3538	89	1591	32
146311	41977	6638	115	4020	84
19333411	32143	8568	55	4510	27
294419	21515	1574	42	267	8
20647810	11885	1215	40	603	21
19375577	209988	51255	305	7115	83
377055	45139	4896	73	1919	16
58911	125128	9326	128	6470	73
19526030	4291	1124	21	943	12
42669424	74789	16228	104	4782	57
