page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
41609814	18	0	0	0	0
20076922	60	29	2	12	1
15129098	0	0	0	0	0
3439192	112	0	0	0	0
27012284	0	0	0	0	0
17092638	0	0	0	0	0
18800717	32	0	0	0	0
17754652	0	0	0	0	0
3658205	240	52	2	36	1
37340148	19	0	0	0	0
680073	1772	172	9	0	0
35274645	0	0	0	0	0
49336797	65	31	1	31	1
27370188	185	17	1	0	0
1790652	307	37	1	0	0
413704	812	99	5	53	2
27970149	903	141	6	74	3
14497622	536	246	4	0	0
35004444	12	0	0	0	0
1499555	310	42	3	42	3
5687552	150	0	0	0	0
5745996	11	0	0	0	0
17785123	1328	206	6	109	4
53613199	0	0	0	0	0
8912253	178	11	1	11	1
49118664	0	0	0	0	0
26392812	0	0	0	0	0
32572166	36	0	0	0	0
9493665	62	0	0	0	0
1262859	0	0	0	0	0
4103463	23	0	0	0	0
23884856	0	0	0	0	0
17172913	81	11	1	11	1
47389308	41	13	1	13	1
11710232	498	151	7	0	0
21851055	0	0	0	0	0
51391767	0	0	0	0	0
1132332	3176	391	10	237	5
881169	59	31	1	31	1
10482158	72	17	1	17	1
33584305	42	20	1	20	1
29381887	489	123	3	0	0
13246290	211	59	2	59	2
1790620	261	22	2	0	0
21237128	312	26	2	0	0
14773125	150	61	2	11	1
6018072	1220	544	16	53	2
3923037	19	0	0	0	0
50431252	96	18	1	0	0
21058724	68	17	1	17	1
18962604	36925	8993	100	5018	22
17895839	35	0	0	0	0
34224711	22	0	0	0	0
38114674	1028	0	0	0	0
26870211	152	23	1	23	1
4685621	115	27	2	12	1
2156030	474	106	4	95	3
32194400	62	16	1	0	0
10946157	2125	217	2	156	1
27311	1447	320	4	296	3
950838	902	334	13	308	11
2143661	112	29	2	29	2
18747916	14	0	0	0	0
3726155	189	21	1	21	1
3054636	234	99	3	0	0
37178467	0	0	0	0	0
11833319	47	0	0	0	0
13621905	12	0	0	0	0
30277604	88	52	2	0	0
37484625	109	27	1	0	0
3610309	628	158	7	28	2
36312282	577	40	1	40	1
18147454	11	0	0	0	0
8111911	371	140	4	140	4
32124474	90	0	0	0	0
21722585	0	0	0	0	0
6616879	47	0	0	0	0
22479165	38	0	0	0	0
18779634	31	0	0	0	0
50411154	0	0	0	0	0
47900029	3325	133	3	0	0
5539005	24	12	1	12	1
33503271	1338	342	2	342	2
10258145	112	12	1	12	1
20754232	1056	123	3	0	0
56977	305	121	1	121	1
360514	4745	1668	23	1376	10
22345785	55	0	0	0	0
18761733	35	0	0	0	0
850626	12249	7655	19	7371	14
483807	2501	924	12	637	4
2281509	536	211	7	0	0
19329825	345	196	3	0	0
18560060	321	16	1	16	1
4685717	367	50	3	0	0
5722362	4858	834	8	732	3
14834266	103	0	0	0	0
36021231	17	0	0	0	0
30471333	54	0	0	0	0
20663625	46426	22350	108	16711	37
23209112	68	11	1	0	0
29908726	123	54	2	0	0
18213608	35	0	0	0	0
39024359	0	0	0	0	0
12865360	102	42	1	0	0
22678200	0	0	0	0	0
15876195	1492	844	7	0	0
10346255	15	0	0	0	0
32563792	39	13	1	0	0
25990559	235	104	2	104	2
16069579	0	0	0	0	0
27012258	0	0	0	0	0
24435547	69	0	0	0	0
16764556	6930	1164	36	0	0
36295828	15	0	0	0	0
4977287	59	0	0	0	0
345112	5207	559	9	328	2
875120	720	200	7	64	2
931370	39709	3283	47	150	6
19261260	459	114	5	68	2
16181615	13	0	0	0	0
3083031	988	108	7	75	4
17578517	278	13	1	13	1
16233489	38	0	0	0	0
17798963	29	0	0	0	0
9763034	737	173	4	0	0
20708788	635	101	1	0	0
48900330	0	0	0	0	0
791619	11	0	0	0	0
10516034	15	0	0	0	0
6966188	161	53	1	0	0
22107339	0	0	0	0	0
23947219	31	12	1	12	1
8500	37408	9210	125	5817	37
17906246	27	0	0	0	0
690325	975	241	8	192	5
10713792	913	244	8	82	3
27361445	32	0	0	0	0
14228614	11	0	0	0	0
22478336	0	0	0	0	0
9022611	2780	1103	9	187	4
31688601	518	201	3	183	2
17776173	50	0	0	0	0
16909291	720	102	3	54	2
10331319	27	0	0	0	0
902456	141	46	2	46	2
17121295	12	0	0	0	0
30464383	7559	725	10	15	1
990096	1000	30	2	16	1
43707128	676	0	0	0	0
46921455	0	0	0	0	0
49132466	0	0	0	0	0
24727942	100	0	0	0	0
17816064	118	56	2	40	1
21489792	83	37	1	37	1
1661627	1790	455	9	347	6
45222905	5692	528	18	0	0
9735577	32	0	0	0	0
47979918	40	19	1	19	1
32575998	504	36	2	19	1
14513414	82	0	0	0	0
51982864	131	12	1	0	0
5391050	21098	652	10	521	4
