page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
9101939	1861	366	12	130	5
20595803	904	264	5	150	3
426983	2469	642	11	538	7
843918	620	206	8	125	5
92931	14297	4129	45	2247	15
6620204	108	11	1	0	0
23721953	75	0	0	0	0
392403	8604	3181	30	2089	10
158534	35408	6995	105	496	7
167169	4722	1914	45	209	8
2228122	1543	251	12	66	1
383252	14386	5154	61	2990	14
3464	98490	19873	287	10989	119
3283501	1573	343	5	343	5
3743660	2856	996	17	565	4
1018820	155	31	1	31	1
410349	5844	1733	27	850	7
391488	4884	1741	31	1143	14
211193	23161	7775	46	3352	9
1005030	734	325	6	256	4
324682	3186	916	13	599	8
52710	15982	5584	47	4124	24
928762	1789	238	10	72	2
20155587	60	0	0	0	0
265316	4163	1626	26	1087	9
264424	1266	541	10	462	7
382274	2370	1001	16	800	9
733178	4528	1653	19	1372	13
252060	9753	572	16	0	0
33526130	66	0	0	0	0
56631	10124	3654	22	2113	12
355237	8105	1875	46	706	13
3470	98552	18323	261	12220	111
17547509	1009	130	5	114	4
66655	15132	3507	84	243	8
21490998	70034	16640	216	8003	82
1078676	3080	673	14	256	7
4293354	4843	1714	23	1149	12
2006117	2760	742	18	307	3
616447	1187	558	8	211	4
437075	1525	690	12	372	5
65213	10440	3478	26	2740	17
664754	6395	821	19	555	9
416672	648	277	5	277	5
1537683	596	205	4	205	4
5872366	445	141	3	0	0
632354	1677	182	7	144	6
608107	714	74	4	36	2
6293	61018	11486	194	4695	35
3154387	1225	38	1	0	0
6598	84743	6050	121	1249	9
5447	105364	22782	378	13580	148
1005798	79278	31622	148	22108	29
3044221	2644	336	5	336	5
265300	0	0	0	0	0
680073	1772	172	9	0	0
983	88871	9668	127	325	5
10958102	5419	1846	31	690	1
5717	130825	21814	279	5714	42
7128565	1674	461	5	366	4
4006836	23	0	0	0	0
44554	14365	6094	75	2033	20
190802	10143	4050	31	1138	9
6653	94419	12952	228	5551	39
18962637	156073	24239	363	9158	94
13818153	1614	927	4	861	2
392113	4983	1452	27	900	12
1103453	2048	1172	24	564	12
2780533	483	32	2	15	1
7301	72791	14927	120	7771	19
7257	29193	7404	152	118	5
4708598	220	33	1	33	1
4674567	153	29	1	0	0
176318	3927	1580	20	1078	9
5478	56498	14769	222	6876	83
16885611	182	25	2	25	2
2078043	606	307	8	254	6
4918114	810	279	5	267	4
510520	7021	3463	21	162	4
6443	82962	13142	123	4801	24
5488	68108	14318	266	8074	114
3523983	2254	752	21	322	8
965392	2534	233	9	104	4
26641671	110	30	1	0	0
20334256	570	121	5	80	2
950838	902	334	13	308	11
45609	115773	11957	145	1907	27
3446966	2623	930	10	849	6
3818842	61	0	0	0	0
7064858	26	0	0	0	0
17562111	773	63	2	26	1
42496193	42	0	0	0	0
42334320	59	0	0	0	0
285508	2245	593	7	457	5
78882	62778	11828	141	2549	12
10224921	412	151	4	96	2
31025296	367	40	2	17	1
5871313	350	148	4	0	0
393560	2097	781	15	728	13
2694744	1419	446	9	293	5
7946165	339	74	3	39	2
10812346	281	117	2	117	2
10277806	5828	873	12	461	4
35723967	278	57	1	57	1
10496406	156	0	0	0	0
6392004	2024	269	8	241	6
2323045	2324	180	6	29	2
30189231	872	370	3	346	2
1830601	278	32	1	32	1
51583615	365	0	0	0	0
974177	7620	1232	13	162	3
1607058	1157	99	5	31	2
2207634	9324	2184	12	1096	3
1709328	312	78	3	78	3
17563578	118	24	1	24	1
3489218	1568	110	6	57	2
60827	257640	32488	196	6116	12
30882307	13860	142	1	142	1
26296751	9811	274	3	240	1
18855726	5142	79	2	68	1
14711765	12647	358	2	358	2
14203723	1722	119	3	107	2
1831502	9705	139	3	64	2
226928	30804	3106	47	635	7
54229	52533	9049	75	326	9
333250	17788	2922	61	210	6
4569104	309	116	4	77	3
12494271	1157	325	4	325	4
11981610	2327	59	3	59	3
18536706	459	118	4	118	4
15130265	14649	703	16	631	12
1270083	3581	548	9	467	7
22544	0	0	0	0	0
11614119	368	62	1	62	1
8277118	882	407	4	407	4
22208914	545	176	3	159	2
4279554	278	64	3	64	3
4295962	298	45	3	34	2
16112417	404	71	2	71	2
7917409	62	21	1	21	1
6979324	305	46	3	46	3
23898599	50	17	1	17	1
494679	67	0	0	0	0
17797	800	51	2	37	1
19103	0	0	0	0	0
28030908	477	89	4	89	4
56925	633	49	2	35	1
5403	52174	17222	248	7000	64
289470	6647	2790	20	2423	9
56638	13791	2562	45	1497	15
4643078	7193	995	27	401	9
14255573	6040	413	8	269	4
1866767	8182	2158	44	861	17
44361	27122	5060	75	2404	40
27438626	2319	756	11	316	4
952936	501	121	3	70	1
14036675	89	0	0	0	0
14036561	238	36	2	14	1
14036110	96	0	0	0	0
38133333	895	138	3	111	1
22708849	594	47	3	23	1
392412	3961	934	13	808	9
7601	45423	13732	169	2874	26
202367	30939	6047	111	1451	23
47523887	13	0	0	0	0
56647	9713	2345	23	1453	7
32238511	16539	1522	38	906	15
480042	3282	202	11	127	6
21460705	1078	505	11	255	5
1699624	3862	332	11	183	5
20667174	0	0	0	0	0
33738272	2330	427	3	427	3
41776444	1557	177	5	142	3
1705548	17559	459	19	165	4
18135781	1422	257	3	246	2
384457	1188	211	2	211	2
3725222	494	72	1	72	1
2448649	460	25	1	25	1
2173076	387	71	2	71	2
3969760	1208	39	1	39	1
3177989	306	61	2	49	1
436866	456	26	1	26	1
51218	11904	496	17	271	5
418571	424	104	2	104	2
4789540	1095	65	3	65	3
2106978	3693	203	7	131	3
18774458	273	81	1	81	1
788753	2508	74	2	57	1
1786042	1416	77	1	77	1
1404404	3231	305	9	216	7
292061	1386	90	2	90	2
16786905	1179	55	1	55	1
541344	1407	197	2	179	1
1857308	7260	454	8	372	5
10983676	1144	225	2	31	1
605189	721	63	1	63	1
1842316	7905	184	4	154	2
364917	7632	354	8	240	4
32353761	1000	54	2	54	2
3462741	0	0	0	0	0
346617	982	78	2	78	2
2849176	2484	207	7	191	6
2607984	3426	67	1	67	1
7221119	257	64	1	0	0
2233449	388	66	1	66	1
498834	2693	96	1	96	1
1486152	1384	95	1	95	1
1499201	337	45	2	45	2
1158136	974	63	2	40	1
1018824	168	32	1	32	1
1018827	119	28	1	28	1
376188	947	206	5	190	4
550377	720	285	7	165	5
185503	672	86	3	12	1
881243	2339	553	12	413	5
8765	16615	3499	71	1614	22
1091420	6028	2224	21	1060	6
196925	8459	1076	28	682	17
1515696	644	201	6	143	3
2545622	2632	747	12	349	4
8500	37408	9210	125	5817	37
87598	85225	5626	87	69	2
1783481	1500	658	13	465	7
43331921	289	0	0	0	0
1815296	13873	3252	28	1093	14
14033347	877	48	2	48	2
13540279	294	37	2	26	1
76762	172896	51450	529	27724	205
6020545	9999	1865	23	1358	13
67577	5797	1584	9	1137	4
704	3086	1114	8	840	6
68975	1099	463	3	447	2
3614	2124	659	8	591	4
3678	883	314	4	296	3
3696	1062	384	5	384	5
5450	1622	586	7	559	5
5461	2985	973	11	594	5
5331	1183	482	7	482	7
8043	2393	364	6	330	5
9349	25392	1198	15	906	6
9369	1380	541	4	498	3
9379	7100	2299	10	711	5
9400	5664	1258	6	1218	4
12030	3382	1298	7	715	5
12070	2767	707	6	652	4
12179	903	361	4	346	3
12189	579	272	3	272	3
5566	1469	441	3	428	2
16655	8839	945	10	927	9
17784	1484	419	7	344	3
17794	2608	733	7	710	6
19100	945	355	3	355	3
19130	2773	345	2	345	2
19182	1460	771	3	771	3
19214	319	196	3	196	3
19294	6414	842	7	830	6
19304	1269	445	4	445	4
21295	2931	873	5	873	5
21376	5107	980	5	885	3
21386	12598	1634	14	1465	10
25629	4451	136	4	91	2
27261	406	91	2	91	2
27281	1598	647	5	609	4
