page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
32973668	Q4980552	5	5	187
8699931	Q4604455	167	153	679
50987673	Q25350071	99	94	397
44510433	Q19519773	7	3	123
1954723	Q4869330	157	150	826
39274005	Q16992019	6	3	193
4424676	Q4996541	29	23	162
2512878	Q1767336	600	543	13414
24485021	Q3820605	221	163	6195
9101402	Q7925660	33	19	717
1497643	Q2557801	571	506	17260
4373640	Q275971	626	21	462021
42278529	Q16234133	99	80	774
4157335	Q4980040	164	144	4192
2909374	Q5691102	13	6	3018
16021232	Q2655193	186	160	348
15598908	Q460106	145	135	1203
5994149	Q5183240	126	114	802
753216	Q5608924	1007	224	6376
880255	Q969866	377	256	24672
27645154	Q4823287	19	15	436
38492123	Q5211430	101	87	1160
3545756	Q6967867	430	261	967
1589601	Q4586569	185	148	2104
46638545	Q20679208	41	36	426
52103906	Q27671128	2	1	578
41557745	Q16212755	219	186	7966
21541201	Q2274500	48	46	203
43631098	Q2176874	3	0	263
49239744	Q22958828	67	28	513
37166309	Q6773699	64	39	392
2300431	Q1960118	2018	1903	5802
16678369	Q4574157	159	149	788
11489888	Q6388359	168	152	572
37982117	Q2656080	129	122	1922
8616400	Q4569347	196	179	374
43933807	Q18159199	7	1	116
21597914	Q4578044	134	129	272
20297793	Q223522	4849	3425	29754
39930804	Q14951054	41	31	619
23870500	Q6235653	8	2	131
15470068	Q570083	89	80	1917
19567350	Q16973627	131	119	537
39752405	Q14950964	14	6	392
44511741	Q18631705	16	9	395
23461732	Q5018133	51	34	597
16351004	Q2910284	144	131	723
23830996	Q2085228	234	200	3350
37002175	Q4877340	86	73	460
4946374	Q955622	256	220	8324
23890828	Q6114358	98	87	361
4275415	Q132448	63	34	468
84608	Q80559	538	394	17149
35144565	Q3998402	24	15	682
50893901	Q24809949	62	60	306
2745490	Q1460944	223	217	606
44800410	Q18685539	11	1	168
4518629	Q4570404	432	226	2669
15125028	Q2429663	169	152	224
13964219	Q6113590	85	70	344
50376756	Q24549968	80	72	1230
33075350	Q5220086	99	95	936
43075441	Q17508354	250	229	429
3343590	Q932422	235	202	20485
453767	Q431972	826	474	5767
1439488	Q3846713	147	137	6922
48433048	Q21597964	48	45	113
13963638	Q4574108	133	120	484
49368923	Q23007781	84	67	1238
25618232	Q4617057	206	196	2034
2310935	Q1960112	1951	1833	6810
1463276	Q4874408	312	297	3906
51676196	Q26878551	101	2	4111
6576	Q223527	5505	3976	79224
44698616	Q18631912	31	22	107
8338884	Q7812563	54	52	657
47543840	Q20985272	38	33	351
48145574	Q21151709	39	33	249
37982229	Q2657232	181	173	1855
685010	Q926745	657	471	36772
4667902	Q3714913	680	336	3493
40497353	Q14951004	8	2	145
23897095	Q7358789	10	6	154
49602829	Q23007845	166	147	3776
41467945	Q16090886	85	71	368
8867015	Q6591150	15	11	1525
43910955	Q18156891	46	29	197
46356542	Q19878699	2	1	93
1642639	Q325823	293	255	7595
6361755	Q4870286	91	81	500
41378727	Q16859184	236	223	2135
14839527	Q7402462	34	33	609
21531548	Q2273282	40	40	221
29779844	Q4935480	120	110	1459
17171568	Q3156805	107	91	855
8973718	Q3869493	74	68	254
44314910	Q18631295	5	1	172
10132227	Q6391078	146	139	574
18847744	Q4579298	134	122	532
16678223	Q2273023	166	156	581
46382344	Q19864772	6	4	137
34159299	Q7154112	107	106	388
1975758	Q7686065	196	187	905
48446939	Q22022278	214	200	12674
239747	Q5416026	105	79	615
30294667	Q4620744	146	136	1289
52187575	Q27735655	92	82	845
1756733	Q1282367	348	337	615
43371016	Q17403224	13	0	271
1911579	Q888305	725	676	4730
14887221	Q2880301	241	219	545
20473174	Q4577699	134	120	498
48350060	Q21604872	42	38	390
1068526	Q721031	255	182	16321
21587606	Q2268006	43	39	95
2813026	Q1755624	550	525	827
3555495	Q16266784	6	2	497
10651903	Q2906564	162	140	1128
21626023	Q6685778	144	139	556
11156722	Q4585261	187	171	567
24598370	Q5331770	17	3	318
34537827	Q16194604	13	8	345
9300598	Q4583859	268	240	569
44390426	Q18619598	17	10	134
16714815	Q4589223	178	164	577
23902833	Q7963489	1	0	355
48416696	Q21598186	5	3	189
26070282	Q6231937	11	4	161
6929717	Q4606904	145	131	1612
46591300	Q20710468	77	72	971
35460683	Q5259685	131	126	744
8472551	Q7705006	137	79	663
752278	Q1058931	1760	353	18518
11855541	Q2879609	124	111	263
2695973	Q1960120	475	423	1229
3509198	Q2714395	63	33	54252
35649189	Q3802373	20	16	831
10152623	Q4108343	162	153	860
23897069	Q5311942	0	0	133
4892	Q4894971	638	572	2919
32692843	Q5531137	28	3	135
15344979	Q4592756	151	138	543
25641297	Q4616950	173	160	2434
6313366	Q5336160	257	241	303
43476594	Q17514420	3	0	89
3835997	Q6207476	221	97	841
43742084	Q18159076	50	2	390
42535687	Q16750465	7	1	236
10947574	Q7861670	51	29	526
3271298	Q3714946	1027	477	33806
51440618	Q26923328	34	29	188
19308045	Q4592723	186	167	992
2455027	Q1960082	1006	927	1934
19333610	Q5870004	194	172	10036
43709760	Q17811726	7	1	304
48416546	Q22022331	166	160	5122
14864289	Q4582331	149	140	536
47299979	Q20858019	6	1	232
2002091	Q1984860	462	396	2490
34376982	Q6209587	12	9	156
38939113	Q26845631	18	12	111
52686054	Q28059272	14	9	201
8780730	Q2660592	190	167	290
49417298	Q22958315	3	0	118
15047823	Q4608996	568	440	818
399875	Q429424	1105	825	5971
31026946	Q4886045	5	2	142
15931987	Q5523891	388	258	4200
44164908	Q18385737	7	2	242
43730875	Q17859747	173	158	2204
44484570	Q19866360	218	203	1918
3589165	Q730369	67	61	1252
44468749	Q18631862	14	11	193
20647339	Q4576096	135	116	329
40512611	Q15997755	1	0	105
17148036	Q5255204	24	12	6687
50892324	Q25190342	64	2	266
8275684	Q6194539	84	80	309
11281533	Q4588435	247	231	2473
10371197	Q4605754	34	32	182
1311886	Q5647789	135	113	851
1809104	Q1676797	166	144	2019
31060655	Q16115864	3	1	95
15268127	Q7139315	121	116	568
23163006	Q6127196	86	45	597
640689	Q167818	433	368	28206
48339566	Q21261341	8	3	198
10170443	Q2040505	128	111	305
21267628	Q2664484	146	137	313
44391735	Q18630832	13	8	231
6805791	Q4846794	181	164	953
42502389	Q16728644	105	0	157
9406434	Q4598737	259	234	936
39221062	Q14918414	115	99	2001
44331045	Q18631453	76	68	258
1020389	Q1909219	442	376	13921
46488276	Q19840145	28	22	176
16714083	Q4574644	161	147	504
50294590	Q24006314	1	1	156
23906777	Q5415559	6	4	323
43418348	Q17509191	17	0	88
13393826	Q691696	333	270	15525
15386171	Q4576773	138	127	375
5581327	Q4845729	171	164	395
2401717	Q371433	751	538	26102
17860767	Q4582248	122	110	434
21589311	Q2268171	30	27	185
14883111	Q4591440	160	151	722
31658437	Q6770623	14	10	424
626654	Q635117	920	178	5618
15686100	Q2880026	299	244	390
1269279	Q522372	928	813	14765
17131208	Q4577072	127	122	366
1306367	Q2347350	354	314	3258
15461201	Q1099188	80	76	1978
1762313	Q1452836	252	231	6484
2428140	Q278648	194	155	1510
207152	Q319007	6361	5572	12067
18817998	Q4601887	169	151	1048
17294353	Q2909976	116	111	445
17861219	Q4589332	151	144	838
46382108	Q19871589	3	0	113
10361480	Q15961049	140	133	560
44512392	Q18637420	90	81	854
41378599	Q16991675	175	167	2650
14887257	Q2881499	247	223	536
3686442	Q5214266	421	377	1128
15331726	Q4597806	156	146	793
22004479	Q4569063	120	114	362
44407487	Q18631152	11	4	748
10971447	Q5006533	26	14	754
28718750	Q14950899	75	39	1123
5614065	Q13582319	519	91	2123
48145066	Q21151706	40	36	83
14622405	Q2284541	208	187	314
46640123	Q19876296	44	37	161
17782590	Q2909454	119	112	386
13259034	Q4577793	119	106	623
659318	Q1061040	438	402	11185
44149862	Q18355546	81	0	574
47819992	Q21067001	27	7	7644
28009229	Q5523938	26	3	311
3203348	Q118510	410	378	7380
44743445	Q18706093	92	87	359
36362841	Q4704156	19	13	395
8137388	Q6591137	160	101	8839
21318246	Q4571993	244	210	446
17407013	Q3516073	136	126	488
31639363	Q14465679	118	105	1238
30480311	Q6201283	8	4	116
16764753	Q4604126	134	123	1094
37120293	Q7441197	112	90	3210
6160659	Q4567494	377	202	975
14990732	Q4611647	164	154	1710
20802108	Q4024426	218	207	2764
7602037	Q4566283	363	323	1394
2145410	Q909800	447	395	149787
1591541	Q473253	352	324	2192
39327851	Q16233724	88	76	943
44382946	Q18619611	14	9	224
