page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
52839063	4014	739	3	0	0
34135585	13	0	0	0	0
21335660	260	0	0	0	0
44206439	0	0	0	0	0
20054150	198	104	1	0	0
41314483	113	0	0	0	0
15363943	1194	639	7	17	1
47877569	37	0	0	0	0
26691660	81	11	1	11	1
24160863	51	0	0	0	0
20663261	295	65	2	53	1
11506085	2258	627	8	541	4
28526067	1248	57	2	43	1
46709088	183	101	3	101	3
41899873	0	0	0	0	0
4417982	85	0	0	0	0
10610648	103	24	2	11	1
7272604	0	0	0	0	0
30713270	13	0	0	0	0
919920	63	0	0	0	0
10690105	0	0	0	0	0
190801	94	23	2	12	1
2597212	524	202	9	187	8
28793211	56	0	0	0	0
6188	10621	1316	28	526	9
22804840	266	38	2	11	1
7514548	274	156	5	144	4
26328332	0	0	0	0	0
36112920	0	0	0	0	0
30698644	0	0	0	0	0
29076906	0	0	0	0	0
40375835	65	24	1	0	0
14085641	198	87	4	28	1
53796439	0	0	0	0	0
3158293	998	490	5	458	4
21391455	480	165	7	18	1
7126138	45	0	0	0	0
31188250	75	17	1	17	1
22094290	279	59	1	59	1
233606	3161	1032	12	921	8
22123270	5360	2772	28	776	8
369469	23750	1020	12	96	3
41274627	70	0	0	0	0
3237624	87	14	1	14	1
8382112	168	0	0	0	0
47498512	311	175	5	175	5
20122548	90	0	0	0	0
44777629	42	0	0	0	0
339126	1625	852	11	716	9
52052459	78	36	1	36	1
6333115	550	73	2	0	0
42368655	3078	1857	5	0	0
18542465	32	0	0	0	0
28245699	11	0	0	0	0
12441482	0	0	0	0	0
46195052	50	0	0	0	0
20451596	230	34	2	34	2
52008929	0	0	0	0	0
47214273	2155	166	1	166	1
52218674	9344	368	6	266	4
41246023	0	0	0	0	0
9320821	150	47	3	11	1
957909	253	68	2	68	2
19584368	50	24	2	13	1
1550381	4445	869	15	467	10
35642353	93	45	1	45	1
31965088	99	0	0	0	0
35233567	234	31	2	31	2
919222	131	0	0	0	0
10652460	0	0	0	0	0
5851271	328	83	3	70	2
239830	1564	579	23	455	15
2260992	1639	335	8	39	3
8939301	51	0	0	0	0
1045211	1585	184	6	101	4
882148	1806	369	11	271	8
5681129	1829	221	5	0	0
19773692	76	31	2	31	2
351608	581	202	6	131	3
5030583	167	42	1	42	1
42006815	3804	2097	3	0	0
24335601	55	0	0	0	0
4704566	18	0	0	0	0
36478879	0	0	0	0	0
3909349	123	30	1	30	1
1663951	5834	1312	12	85	2
48564602	13	0	0	0	0
1005582	8164	2053	18	517	2
43755181	0	0	0	0	0
40409072	40	0	0	0	0
20784284	11	0	0	0	0
32801845	112	23	2	11	1
28071497	15	0	0	0	0
28300080	303	38	3	38	3
6895279	107	17	1	0	0
420115	1436	436	9	182	7
1928305	40	0	0	0	0
36625135	176	35	2	0	0
1086681	6232	3874	11	1524	7
56986	881	365	11	283	8
504623	10716	4107	45	3350	28
24781039	83	0	0	0	0
390592	1425	775	5	775	5
3562833	866	411	8	206	5
30904031	72	26	2	0	0
38871004	14	0	0	0	0
30634156	213	47	2	47	2
5471852	26	0	0	0	0
27598250	34	15	1	15	1
43461343	428	180	6	46	3
3149991	186	50	1	50	1
14227703	2602	92	2	32	1
27349730	171	80	2	15	1
2653906	1394	642	7	617	6
41706724	154	19	1	0	0
2849002	194	12	1	0	0
1140503	11290	637	14	445	8
31197921	54	15	1	15	1
7336951	0	0	0	0	0
4704039	103	59	1	0	0
6487002	231	28	1	28	1
38069591	0	0	0	0	0
17838555	763	0	0	0	0
572999	21511	12188	26	11983	21
10343460	18	0	0	0	0
36355242	83	15	1	15	1
16258835	173	0	0	0	0
16211954	120	0	0	0	0
43325366	113	11	1	11	1
5870263	38	0	0	0	0
33511113	406	74	2	74	2
276135	6726	746	7	238	1
12542274	1984	88	2	32	1
8659842	22	0	0	0	0
10984954	151	32	1	32	1
21295740	456	13	1	13	1
49516923	186	17	1	0	0
20943181	1038	37	1	37	1
771600	716	245	7	197	4
390589	2795	1161	20	1044	12
51039972	14	0	0	0	0
51301821	360	0	0	0	0
30698883	0	0	0	0	0
48628318	17	0	0	0	0
31146433	151	29	2	18	1
1168225	390	166	7	155	6
152565	4852	2189	58	2061	53
26684348	2014	468	5	455	4
6156736	279	127	5	0	0
91052	7335	1164	30	819	18
3589305	86	0	0	0	0
36931267	112	43	1	0	0
2440214	2323	558	7	182	4
14867460	145	12	1	12	1
31262037	91	36	1	0	0
9401003	291	116	2	104	1
43650902	2547	142	2	117	1
5917307	21	0	0	0	0
47425109	0	0	0	0	0
45140480	124	66	2	66	2
26496901	11	0	0	0	0
49478978	0	0	0	0	0
23281632	8193	63	3	28	1
43638922	454	126	5	26	1
9704619	1050	43	2	43	2
24110042	99	29	1	0	0
27966845	45	12	1	12	1
7731176	89	0	0	0	0
46445877	200	46	1	46	1
41798937	0	0	0	0	0
38068465	18	0	0	0	0
36904158	0	0	0	0	0
45121432	32	15	1	0	0
32952305	16	0	0	0	0
38538684	11	0	0	0	0
206375	6318	1960	42	1189	19
2500090	6640	2831	45	485	6
26205674	210	55	3	22	1
29618646	42	0	0	0	0
26335002	67533	18693	118	3577	42
10498102	715	296	6	285	5
684720	1493	390	6	230	2
27655775	181	75	5	59	4
253657	2445	319	7	0	0
31141333	138	44	2	25	1
36889936	1632	822	9	217	3
1602923	239	110	1	110	1
15477020	614	220	4	203	3
38936864	22110	2396	19	1102	4
33139872	12	0	0	0	0
23967563	0	0	0	0	0
6606251	1181	419	11	294	8
1064018	1659	436	14	14	1
6166920	708	297	7	90	4
26075682	242	29	2	16	1
4757031	76	25	2	25	2
8881096	638	54	2	31	1
21014539	26	0	0	0	0
8269875	6697	653	10	318	3
46687168	16	0	0	0	0
40399703	11	0	0	0	0
17141092	328	85	3	53	1
3099607	559	244	4	244	4
28867990	29	0	0	0	0
32463914	60	17	1	0	0
7921121	54	0	0	0	0
7213934	4313	1441	5	300	2
919346	142	30	2	30	2
5094570	528972	25164	136	6511	56
51018325	54	20	1	20	1
39038267	22	0	0	0	0
22554971	2634	576	10	503	8
36173512	97	0	0	0	0
407246	3841	919	26	753	17
40444862	0	0	0	0	0
55074	16731	2923	51	2272	34
20236356	67	0	0	0	0
8686262	511	32	2	32	2
18698154	82	0	0	0	0
39401574	120	0	0	0	0
13293350	0	0	0	0	0
17225852	205	86	3	11	1
36478891	12	0	0	0	0
26217525	123	22	1	22	1
2437738	64	11	1	11	1
3617942	97	0	0	0	0
43769374	116	0	0	0	0
979371	2639	1178	17	946	12
6864512	126	30	2	30	2
40201500	12	0	0	0	0
19141932	269	93	2	0	0
27249681	171	0	0	0	0
919965	213	29	2	17	1
42062039	0	0	0	0	0
16756	93332	11360	172	808	20
20575811	40	0	0	0	0
20122483	1264	141	7	102	5
20837494	207	0	0	0	0
51314385	8702	476	5	0	0
39113007	0	0	0	0	0
33119255	77	0	0	0	0
12502571	28	12	1	12	1
43558266	19	0	0	0	0
6351564	0	0	0	0	0
34314824	12	0	0	0	0
18945020	414	51	3	35	2
8526133	0	0	0	0	0
23998198	408	67	3	44	1
1047759	1131	241	5	132	2
48180864	23	0	0	0	0
24394538	76	42	1	0	0
3862342	193	45	2	45	2
9510311	16	0	0	0	0
26292853	14	0	0	0	0
29426	74732	20155	152	2816	21
300188	3104	1481	35	1093	24
2109699	1657	720	10	603	5
17666234	342	55	2	38	1
2573657	69	27	2	15	1
17327838	4660	203	3	184	2
40399979	0	0	0	0	0
40399697	0	0	0	0	0
33951680	0	0	0	0	0
20948269	1259	478	10	372	9
1679212	545	211	7	199	6
14470192	135	46	2	35	1
326716	4012	2366	2	2366	2
1399763	2311	707	7	132	2
26539547	0	0	0	0	0
916129	366	32	2	32	2
35990565	17	0	0	0	0
3456251	1582	248	5	48	2
31620392	0	0	0	0	0
6111099	4576	1291	11	0	0
42819419	121	50	2	24	1
47626387	119	33	1	33	1
40493995	518	227	1	227	1
17649840	431	36	2	0	0
31146374	80	15	1	15	1
51844223	12	0	0	0	0
9473301	82	17	1	17	1
41808082	0	0	0	0	0
28969004	1240	109	2	0	0
9467725	162	22	1	22	1
26292849	0	0	0	0	0
2147212	806	293	3	102	2
3674504	3382	200	4	162	3
18769119	656	47	1	47	1
46976396	54	0	0	0	0
3521935	1010	355	14	87	5
12410134	556	198	4	41	2
43472976	8793	3569	36	3370	26
1512711	732	88	2	0	0
4792624	278	54	1	54	1
41072469	64	0	0	0	0
36490552	114	0	0	0	0
4655264	11089	2385	23	879	8
50878205	62	0	0	0	0
143930	2719	692	17	589	14
8603647	5148	2001	16	232	6
11011530	194	12	1	12	1
5936676	43	0	0	0	0
11150610	68	11	1	0	0
12040532	146	60	1	60	1
6501489	1433	359	15	159	9
1708381	2984	1179	16	538	2
33015261	14903	1482	12	739	8
15147850	374	0	0	0	0
20104666	5758	144	3	86	1
2464818	434	225	4	103	3
30418830	44	0	0	0	0
22406317	53	0	0	0	0
35876508	609	174	1	174	1
44291458	203	37	2	0	0
621687	94	0	0	0	0
24750254	295	21	1	21	1
41649115	13	0	0	0	0
1808401	215	72	3	72	3
469734	9408	4381	62	3578	40
3326282	964	367	3	55	1
42948380	317	60	2	24	1
30357260	339	19	1	0	0
48845756	14	0	0	0	0
40164702	210	30	2	13	1
30778147	252	56	2	56	2
3099428	970	93	5	60	4
1716941	1312	290	12	61	3
51047899	12	12	1	0	0
2229780	365	139	3	67	2
20723529	201	18	1	18	1
2383226	3030	1173	14	0	0
21650084	42	0	0	0	0
23760918	0	0	0	0	0
1420574	1957	87	3	87	3
174227	371	55	3	29	2
18395573	13	0	0	0	0
27290725	194	0	0	0	0
35693827	52	0	0	0	0
23464579	14	0	0	0	0
27703667	141	0	0	0	0
51367918	21	0	0	0	0
48601795	1801	895	3	305	1
49101545	63	14	1	14	1
30516106	2162	749	8	484	3
8899640	1650	95	3	0	0
26110119	193	92	1	92	1
3802403	53	0	0	0	0
49329358	16	0	0	0	0
47404242	0	0	0	0	0
7707980	83	0	0	0	0
7655205	31	0	0	0	0
33478333	216	12	1	12	1
41664860	14	0	0	0	0
5873951	5263	282	6	174	2
48466440	30	0	0	0	0
36112918	11	0	0	0	0
43570642	0	0	0	0	0
1619787	1939	204	7	136	3
7483040	844	43	1	0	0
28997628	143	37	2	37	2
43927952	314	45	2	0	0
36919310	94	0	0	0	0
36158118	309	75	3	75	3
14822800	234	0	0	0	0
2205800	43	0	0	0	0
25038488	1449	360	8	124	3
12542748	799	226	3	189	2
42246063	2599	225	9	55	3
13055813	508	50	3	20	1
2588978	594	23	1	23	1
24909241	64	0	0	0	0
14682411	1181	66	3	48	2
14980064	32	0	0	0	0
28443267	1187	575	5	0	0
9381005	264	20	1	0	0
1933119	93	0	0	0	0
16772	252561	38242	648	2917	48
1031979	185	0	0	0	0
35866581	45	17	1	17	1
36943929	53	13	1	0	0
28165033	156	0	0	0	0
8704196	17	0	0	0	0
25606302	327	87	3	31	1
395935	2943	548	15	465	10
899731	736	373	6	0	0
199464	19433	1037	11	518	2
41534247	809	420	3	295	1
1776719	1716	350	7	152	4
18129120	14	0	0	0	0
2823531	65	0	0	0	0
6073054	131	0	0	0	0
6003963	1790	488	7	393	5
5912214	16	0	0	0	0
29997978	75	0	0	0	0
40282501	0	0	0	0	0
44322933	0	0	0	0	0
26328128	0	0	0	0	0
41574446	75	18	1	18	1
26539416	118	11	1	11	1
51982622	682	69	2	69	2
27970672	687	19	1	0	0
20855616	35	0	0	0	0
48906	7479	1577	30	703	11
9455579	2340	770	20	360	10
2050244	2343	207	10	101	6
970556	2666	716	16	673	13
42652447	11	0	0	0	0
51046393	24	12	1	0	0
2437775	85	15	1	15	1
3524814	371	75	2	75	2
22902086	37	12	1	0	0
100434	11436	6309	38	6132	32
45417097	18	0	0	0	0
8760767	363	139	5	0	0
432572	2873	498	19	401	14
65837	79814	6839	81	3642	15
637496	6334	786	21	148	2
12217696	303	115	5	0	0
17724000	0	0	0	0	0
36891287	542	361	5	241	3
32584124	41	0	0	0	0
25544271	19	0	0	0	0
20803602	6314	1050	25	899	16
24931589	122	57	3	11	1
15801763	1428	205	5	60	1
24110395	1978	402	11	144	4
1780235	6763	2106	13	1603	6
47775348	3366	761	8	664	6
27036442	317	41	1	41	1
44414413	239	37	2	37	2
867495	196	44	1	44	1
392210	2236	650	22	463	13
45006776	236	49	2	49	2
14550494	141	0	0	0	0
8966185	444	74	3	22	1
180545	36313	3999	51	151	2
17439236	160	27	2	11	1
46885945	545	321	8	276	5
37695345	167	0	0	0	0
44267080	26	0	0	0	0
880716	2271	176	5	40	2
2178579	2416	291	8	59	2
10114443	339	0	0	0	0
38911702	415	237	1	237	1
31575987	368	225	6	60	3
4187554	1225	278	6	16	1
28749901	13	0	0	0	0
31597914	3229	584	8	250	3
5432856	532	120	5	60	2
19872699	263	56	1	0	0
15689474	1483	429	5	400	4
5725710	214	44	2	44	2
919458	3246	585	15	190	7
