page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
16772	252561	38242	648	2917	48
173434	6473	2381	58	1293	27
16900	27359	1297	9	1139	5
197181	19029	2145	54	1558	27
463617	31850	5829	27	4750	11
250129	8393	1370	29	920	17
65119	45939	7678	88	4312	34
1440585	2482	285	12	209	7
18024	13865	814	26	487	16
155516	14491	4444	87	3981	66
52692434	189	0	0	0	0
259901	16973	5741	75	5173	57
55074	16731	2923	51	2272	34
18369	66415	6166	61	184	5
269901	2051	991	19	946	16
19496	60103	2988	72	471	9
55079	19454	6258	122	4495	77
6870371	2613	1567	11	1370	7
55273	29754	12913	165	7999	62
47595	58814	15634	185	8447	75
19359	61208	14270	116	5610	56
19527	202513	32227	383	21464	157
69144	8668	2445	17	2082	8
3121172	343	116	5	93	4
345180	10744	2226	24	1691	11
250649	3219	240	11	240	11
197033	9402	1382	42	704	25
311934	17781	1838	28	1466	14
842144	537	147	3	147	3
179762	4917	2438	35	2214	29
43449	84965	25393	307	21501	182
530241	4885	1006	18	1006	18
7453497	1675	266	10	153	5
49798088	0	0	0	0	0
28019678	377	13	1	13	1
22555547	7683	2500	13	1965	8
413433	23482	2416	41	882	14
42179	342839	35558	261	8950	17
654340	1782	376	11	206	7
322123	19857	7603	75	4706	36
247756	14283	1000	28	554	14
386882	5499	882	28	654	15
21791	42812	11557	195	8594	116
412721	8697	1880	30	1194	16
38878740	15162	4900	39	4387	23
2923937	1859	364	8	235	4
250022	12406	1913	61	1066	36
183529	7758	2696	43	2134	29
209988	13548	4276	48	317	2
252125	8498	1981	43	1458	29
66739	76641	3689	39	2422	19
480299	10640	4576	64	3183	39
646288	3579	1565	30	1001	17
16285598	1078	361	1	361	1
48997	22472	6063	105	3753	58
929674	282	79	1	79	1
325953	5615	1512	30	1241	22
322932	12266	2989	37	2240	25
282854	21941	1616	26	908	15
618649	14661	915	23	579	12
72296	10875	2783	60	1823	29
263163	5314	1665	21	1128	10
66890	56976	14114	201	8345	98
1298114	7856	2829	19	602	5
23588	146182	19939	279	16286	177
396359	0	0	0	0	0
66555	31342	3616	63	2199	34
23239	13443	1772	20	1689	16
9895897	28193	721	22	471	12
19334	220801	13005	162	4216	27
167718	34671	4918	92	824	13
15374946	0	0	0	0	0
1420574	1957	87	3	87	3
30524066	1001	513	8	513	8
47747524	34692	7151	41	6476	28
17255213	7735	645	9	568	7
265949	18377	6140	87	4840	52
43461	74026	16768	142	15374	100
99598	79755	23440	140	18865	86
33712291	9540	3300	41	2504	33
25310	118150	45774	492	32265	311
516942	6954	1419	15	1380	13
250171	24369	5735	110	3055	52
173818	10494	4337	74	3316	53
438060	10862	821	25	704	18
99707	11479	2443	27	520	7
42099152	9537	1072	17	771	9
147089	99928	4468	19	4152	8
9471441	4280	501	10	392	7
66958	50713	10150	148	5086	69
33167689	54785	24559	238	18651	134
51624636	0	0	0	0	0
961054	541	0	0	0	0
36979	97788	9114	174	556	12
157837	31387	8472	90	6592	53
66142	16024	3600	39	3401	32
277914	4280	517	13	487	11
473856	6378	3229	70	2455	51
147155	24909	11311	124	5363	49
69980	94701	28715	365	16312	152
953081	17880	1360	26	768	7
155520	12513	4352	95	3421	72
105032	19875	6035	136	5220	99
43465	42889	12521	163	11210	115
27643	129587	28558	337	15184	152
498478	15146	5437	41	1861	11
511608	8196	2334	39	1598	23
81262	9630	2707	73	2266	54
29098	31412	7997	84	4075	41
180264	18508	4809	109	3542	59
412727	7773	1315	30	924	17
277563	6920	3607	41	3398	34
65185	26768	8092	151	6322	99
54770	1273	131	5	131	5
27636	6515	2067	54	1685	40
261949	36905	12245	250	10135	172
2911095	3197	1426	27	1189	20
552565	17459	4550	53	2225	21
6743977	2376	318	8	252	6
26756	20588	9861	124	4251	39
56978	65551	22841	273	12591	172
28609	4235	1109	12	973	9
204416	7768	3294	34	2548	23
28608	12455	4445	44	2770	20
27658	16433	7035	71	5675	31
3672685	8668	394	5	320	3
170458	15260	7395	98	6979	77
24657	41481	19611	198	13115	102
464766	3374	524	15	328	7
43456	19190	7124	64	5357	44
231503	92756	17765	120	9431	42
51825	44761	5323	91	3533	27
88483	53036	13371	179	10698	102
292011	20943	3669	96	2243	55
80895	49438	12035	107	4574	64
25734	392436	70575	989	29245	246
91052	7335	1164	30	819	18
401079	5740	934	29	800	22
207992	11182	3500	62	2505	37
1071501	4197	1493	18	1342	13
6539338	1082	94	4	94	4
43455	59502	15680	290	11012	161
30808	28527	5308	52	3252	24
8574	44652	5166	59	3881	23
30365	121974	25886	374	15909	166
70052	12871	2109	38	1845	27
50952503	376	171	4	119	2
148653	102706	7002	50	5035	24
65837	79814	6839	81	3642	15
843013	2017	640	17	372	8
83320	3715	985	16	820	10
65192	63423	10506	86	2193	27
43459	43154	14626	116	9528	84
729853	2676	363	7	295	4
476248	6224	1502	34	959	19
343359	8661	2829	15	2765	13
44534	126390	18295	180	12950	73
50821	42419	14076	178	9947	88
31516	120456	11994	216	5932	78
54753	27098	12605	117	11023	80
16993046	297	88	2	88	2
22419013	79056	4152	93	796	16
266210	34628	12205	263	9151	170
475884	10422	332	11	256	6
5992	32834	5528	139	2652	51
2093431	20706	5542	75	3349	22
23242	4257	624	10	606	9
239830	1564	579	23	455	15
640822	5982	2549	26	2180	15
199155	21568	6059	77	3991	33
253645	14963	5337	67	4519	45
377551	7787	695	15	667	13
25970296	33720	1359	27	742	3
207508	1102	178	8	150	6
3918792	10740	4425	78	3516	54
196576	37068	12451	169	9437	119
294171	16131	6190	68	4775	34
354313	5552	890	12	757	7
10935907	10452	723	14	621	10
14130977	7136	329	10	256	6
91225	15579	1896	27	1023	18
486970	11485	4318	55	2974	42
339091	10548	2645	59	2093	42
385620	3579	1936	19	1354	10
483991	6628	1891	31	1156	19
82138	25564	5413	120	2946	60
81263	36611	6547	123	4695	70
143881	20660	3070	79	2064	42
298025	24820	9798	112	8419	82
263168	8067	841	28	477	15
25862547	59180	18813	268	13874	147
204310	23481	4476	77	2331	18
6613	41012	8783	134	5438	84
1300302	4931	1586	27	1131	16
50819	35519	5288	92	3702	59
144804	128855	9899	129	4708	49
2959815	462	114	5	45	2
2279472	0	0	0	0	0
19606306	54859	23602	199	17120	105
1261341	1829	560	9	432	5
59259	15484	6338	84	5681	63
166410	24081	5925	165	3910	98
30153241	77760	8905	189	1927	22
305373	1092	372	7	372	7
96602	18480	6140	136	5326	100
34494	39688	4111	87	2368	32
288264	12942	2408	49	1570	28
250145	5549	814	27	553	13
43464	33639	12982	168	11940	126
249299	23246	7662	35	6711	13
163029	16031	5116	61	4164	40
19544344	11651	5389	37	2306	15
267666	22623	4829	79	3829	54
465125	9505	1385	32	725	13
378727	7009	930	15	685	6
2766573	5925	3022	31	1673	24
34199	19034	3555	60	641	14
422001	8301	2595	53	950	18
2338260	934	195	5	120	2
897145	9483	3197	42	2202	22
66988	22599	9227	47	6371	17
325572	56764	1265	23	655	9
291328	30270	10502	145	3676	35
43467	29257	12456	78	11555	55
285552	8422	2119	26	1744	19
23508247	10427	4134	83	3262	51
48999	20378	4757	75	1102	15
243875	25445	2870	22	2745	16
3107582	2217	112	5	112	5
2282952	2143	753	17	670	13
619517	1657	303	7	240	4
3062848	4509	661	7	488	4
432290	2631	1188	11	1136	7
123516	6669	2196	67	1261	37
277570	5315	567	18	400	9
250719	3497	120	7	64	4
23202707	2156	1014	23	711	14
2596399	7446	1390	27	1158	16
1559725	2599	994	23	924	20
66184	8626	1712	22	1026	13
6003963	1790	488	7	393	5
305300	7134	2930	89	2172	56
1406695	1139	336	3	336	3
48968	6789	704	21	269	9
171488	280	46	1	46	1
50441	20984	8092	74	7087	43
6127515	904	27	1	27	1
900660	1959	323	7	207	6
198761	15797	3179	60	936	13
2875067	1433	830	8	739	4
897148	11276	2317	34	1014	10
261888	14504	3982	69	1536	15
297958	31970	9287	150	2744	34
1006420	4723	1214	25	549	9
206375	6318	1960	42	1189	19
1821208	24652	2809	47	1097	14
30875975	60510	4839	29	1331	10
184224	9758	3009	35	1742	16
601694	6349	1753	33	903	15
577929	40387	2964	24	2345	11
1868301	6047	2181	55	1245	20
1220963	5839	2130	42	355	11
2913440	1439	138	4	69	1
265858	3353	910	24	250	9
2191357	0	0	0	0	0
1101139	5348	2193	34	1265	15
381445	32547	11320	106	6256	38
1289647	9664	3997	39	3160	15
152831	8736	2583	23	2401	20
269558	8577	1494	24	1192	10
1220931	13420	849	15	425	3
47839315	26482	2245	39	1419	18
6976151	182	0	0	0	0
220159	9112	4526	38	4112	26
2803951	0	0	0	0	0
1749530	0	0	0	0	0
2957726	2258	1045	22	839	16
1401234	1014	127	4	78	2
614024	1957	825	17	609	11
842094	311	117	4	80	3
954522	6451	838	10	393	2
1625961	1512	201	6	187	5
1421060	692	139	6	128	5
2157339	58	0	0	0	0
113527	4715	1010	16	458	7
19073	2135	380	12	235	4
13409	7769	1262	23	801	8
343674	9896	1928	34	1740	27
65922	5372	1826	36	1300	16
343498	4613	2020	35	1572	19
251746	1001	227	7	58	2
1140515	4951	491	16	388	10
173276	54913	2564	67	84	3
469925	18442	6445	46	2421	20
2703943	1331	349	10	253	8
183522	47521	4504	86	653	13
113190	2928	1352	29	209	12
902040	5650	1985	34	862	5
59541	26168	9875	159	2936	17
828891	3710	2036	33	1763	27
2176704	428	106	5	42	3
197101	0	0	0	0	0
197102	2083	448	9	404	8
426507	3069	619	15	287	8
30875467	2553	1139	23	887	17
1432034	2464	719	13	244	10
2170560	4041	1002	19	179	7
7955217	1400	481	11	161	6
692992	2563	440	13	330	8
7174	2143	531	14	365	10
3727638	2543	269	7	102	3
204675	5528	849	31	456	17
2190990	3274	574	14	425	8
171484	625	253	7	253	7
267191	6437	992	20	805	14
1481037	2535	629	22	389	10
58245	1570	610	18	490	15
1227380	12608	3965	44	2279	11
7966743	0	0	0	0	0
48906	7479	1577	30	703	11
