page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
13427	2553	221	4	27	2
14667	4684	671	13	37	1
67621	2651	320	4	24	2
27023	3994	489	12	89	4
211484	250554	25343	181	20949	78
331643	9904	3232	39	1038	6
185974	1632	136	4	18	1
8409	24407	2287	37	1545	13
155577	13332	2828	50	2502	36
99860	20285	1014	30	614	17
37000	13127	2106	20	113	3
74576	6278	435	3	207	2
149333	159148	45342	541	16191	69
12031	813	268	4	0	0
43375	13193	3091	70	1164	36
46539	88850	7751	189	1503	27
160310	20974	6054	88	1507	5
15577	8175	1301	22	439	10
219177	14685	5659	101	3365	40
20971	32780	6257	93	2635	38
1311798	532	162	4	29	1
25755	22955	7877	157	5742	95
209443	21617	1644	42	1004	21
62092	29225	10000	162	6898	68
46399274	7378	2324	27	2006	14
247817	35364	3715	99	775	24
32064533	1573	329	12	11	1
48755	28390	10554	77	7750	35
37008	9633	2120	50	1121	23
261710	0	0	0	0	0
30439	81839	18719	179	10171	82
67576	1596	500	4	11	1
190192	41042	5299	46	3399	21
214175	11726	1934	48	761	18
354814	1367	365	6	37	2
15316	76060	8999	155	4353	44
52786	25699	3405	89	1517	23
46313	168872	9963	204	4191	48
59212	32201	4591	94	3170	50
157861	86016	8709	86	4436	20
21531998	0	0	0	0	0
28978421	38093	11563	176	3212	26
66463	5386	951	18	143	3
21554936	9830	1585	30	623	10
153149	15137	2558	73	1098	23
5058628	231542	69465	254	44530	51
8054	484	121	2	19	1
216531	55083	8902	137	4306	57
54956	59917	4693	89	3505	53
8026	1358	294	2	0	0
21754	27619	4898	82	2488	19
12384	115450	9608	55	4442	9
183749	5703	505	16	51	2
153324	27477	2944	66	1992	26
338327	5291	1335	17	1074	13
325218	42280	2240	13	2003	9
149536	37802	14676	106	3786	41
3670	1578	246	4	14	1
156371	49838	18825	169	12357	75
11935	20684	2618	40	1181	19
210282	30568	12979	102	4274	41
30252	970	145	2	134	1
377411	15821	1642	34	590	13
380398	69739	6357	54	3247	30
321175	4538	473	16	103	5
2033060	795	250	9	42	2
30201	7672	704	8	75	2
652849	29067	4621	39	3582	14
33185739	504	113	5	51	2
297032	42915	6069	92	1753	17
38211935	4337	953	26	682	13
31899	86938	12344	175	6234	44
233588	0	0	0	0	0
63520	366999	44037	214	87	3
408310	9325	1382	52	933	30
130918	60182	2589	80	347	12
178647	15200	372	15	163	5
163225	22998	2856	65	713	18
21401843	67606	6907	133	2368	35
10156432	37346	8797	144	3069	33
188641	7971	2417	57	1499	27
39619035	27219	8026	110	6095	65
37671	26825	6743	133	3885	67
39766736	19088	8478	114	5483	57
59761	8825	1163	21	285	9
379679	2107	365	11	276	6
23424	803	122	2	0	0
18247344	28663	9419	127	6564	73
369001	1240	436	14	82	4
6784	38548	3525	95	1260	23
967280	3989	248	8	80	4
47096	40340	10041	125	7032	43
328969	9924	3930	93	2618	55
173155	22280	1833	40	290	9
12061	1561	228	4	38	2
84782	5403	663	13	61	3
375905	14641	5864	112	250	10
268515	17679	1728	32	126	7
42823898	21977	3381	61	1568	17
17804	3186	327	6	0	0
432513	22524	2496	36	1936	24
9282116	36685	10339	112	8412	63
5597	2471	467	5	0	0
334803	26952	3270	61	670	18
7299	47333	6846	144	3122	36
5043544	307287	96702	847	54029	166
51992830	53370	2652	56	1310	25
17775	4795	708	14	157	4
48934	46991	3897	90	727	15
22063	47378	8192	125	3883	43
27869823	0	0	0	0	0
67476	209	0	0	0	0
382895	4683	944	21	278	5
14654024	19372	5166	76	1832	21
24552	32197	3074	37	1702	12
4913027	16196	1900	46	886	11
21259	7673	1145	23	349	11
25816	91399	38290	364	17347	47
19111	4198	421	7	12	1
519775	10082	867	30	320	12
325617	9596	2512	43	1217	20
5555	2773	398	3	0	0
32456	2533	381	4	112	2
21244171	22307	8032	80	1783	8
27464	9758	1147	20	210	6
69004	2042	290	9	0	0
29174	38100	6673	129	2016	25
27392	7148	747	15	185	6
24260	27464	6880	125	882	14
12112	5730	510	14	67	4
13377	1025	167	3	11	1
51582	25406	3892	125	1453	42
19455	63436	7526	185	2051	47
325137	0	0	0	0	0
27322	5940	649	8	81	2
5577	1005	141	1	0	0
216169	12128	2475	50	363	6
21627	38595	5920	132	2411	46
952705	0	0	0	0	0
222839	37724	8628	127	4916	51
481400	145	11	1	11	1
59563	9091	346	14	184	7
101146	23674	1917	73	315	11
40231	2166	510	7	30	2
67301	3241	318	6	15	1
47497309	17996	4325	79	2748	42
69013	1704	141	1	0	0
17785	710	136	4	24	1
1582335	18904	2920	52	1466	16
39766702	24053	6626	137	1029	25
30122	2425	236	4	15	1
44417	15999	1571	35	879	13
48990	49425	6913	117	3436	47
18951602	52325	14948	227	1920	24
56961	2778	445	11	54	2
427463	2489	699	9	558	5
577704	15949	6926	61	988	12
73249	6641	612	10	180	3
5451	982	136	3	0	0
864886	4839	1203	17	1045	11
28561	66970	7255	107	5665	63
898541	24003	2374	20	1066	7
227091	23618	7567	116	3989	49
216400	59513	25645	259	4887	50
9865	5648	2668	58	1180	33
355849	11537	1574	38	780	18
157279	10614	2214	67	740	19
68948	1327	269	4	0	0
617451	3404	487	15	351	10
979833	6007	976	15	0	0
56241	4408	592	22	323	14
56231	19847	3033	57	1987	22
48852	23780	5778	98	2126	27
81473	17233	6020	70	1396	6
14646	3786	547	11	13	1
647199	3371	697	19	485	16
3679	731	133	3	13	1
449071	5800	1086	17	837	12
16698	878	224	4	15	1
27331	792	119	2	0	0
859401	7314	1587	50	608	17
27342	754	141	1	0	0
67670	4072	696	12	181	7
32021	44503	5939	97	2686	49
68976	694	145	1	0	0
23573352	21414	7189	88	5814	54
910810	18604	3021	29	2547	17
8044	550	59	1	0	0
613433	1506	643	10	220	2
43794808	28262	13962	67	1771	24
68964	1530	150	4	12	1
81480	14915	5921	62	1364	9
57614	6568	939	20	75	4
52318	41925	10791	189	5827	101
105323	31964	2961	63	838	18
1291782	27746	1571	32	394	9
221220	68616	25898	185	18355	90
38725	13637	1306	26	297	9
37476	19555	3292	66	2369	38
67582	1193	391	3	25	1
21387	11266	856	19	33	2
17130873	13220	6108	79	3761	26
210254	50471	17345	266	6118	39
337689	23916	1021	32	73	1
18247391	14354	6550	110	3881	45
1845092	9024	3261	15	2990	4
11542	81396	10906	146	4879	71
1840005	8546	4663	51	467	5
23376	316	81	2	0	0
22416	107515	25876	233	3220	35
23404	1043	157	2	14	1
11185	180059	18052	299	3725	41
27544981	1760	629	7	0	0
16646	1496	198	5	0	0
375091	25739	1416	32	513	11
34432	2232	237	5	0	0
1138462	106	11	1	11	1
2944	34483	11548	109	2836	15
27242	803	209	5	0	0
875560	68	0	0	0	0
382165	13464	1700	59	567	20
18310686	90	38	1	38	1
14701	11305	988	23	340	11
401544	4735	1337	19	570	8
15180	3364	892	14	622	9
